"id","text","video_id","category"
"UgzEGAMrP2pS3Yr1oud4AaABAg","Спасибо, за интересное видео. ) Не бросайте плиз канал)) Только начинаю входить в эту тему. Ваш канал очень интересен и вы доходчиво излагаете материал простым языком. Вижу, аж ""Диванные Эксперты"" в комментариях на галёрках приоживились и подтянулись ).. аля не концептуально сказали или разъяснили, пытаясь повысить свою диванную значимость без конкретной аргументации. Ждемс.. новых видео :) Еще раз спасибо за ваш канал )","1","DS"
"Ugxd4sgtNCmWSeGHoCp4AaABAg","Как мужчина не смог спокойно смотреть и, к сожалению, ничего не понял.","1","DS"
"UgyWP9OChJ-iTJG6x3d4AaABAg","не( ну это вообще слушать невозможно(","1","DS"
"UgzFbrf2N6EuPd25B914AaABAg","какой отвратный говор(( полезнее просто код посмотреть","1","DS"
"UgyjvXMNWLx1hOQVvuR4AaABAg","большое спасибо за детальный разбор, один из лучших что я видела","1","DS"
"UgwLJBdElr912vM0rzd4AaABAg","Есть статистика, что с высшим образованием меньше процент процент невозврата?","1","DS"
"UgxgO_F9Kt8rZnjFpDB4AaABAg","У Сбера дурацкий скоринг, кредитный рейтинг мошенники испортили . И из-за 5 тыс микрозайма сбер при высокой моей зарплате обламывает меня в ипотеке . Из трёх сайтов американец не был обновлен. Очень не гибкие процессы","1","DS"
"Ugx4Kr0AwjYK7XaOh9l4AaABAg","Ах! Какая красота! )","1","DS"
"Ugz_JScNH8M0jLSUqnV4AaABAg","Богиня да еще и умная! Женюсь!","1","DS"
"Ugz9irhLDaDCpyU5IYN4AaABAg","я правильно понимаю, что раньше это называлось социологией?","1","DS"
"Ugy3vXbPe7lWimNF8SN4AaABAg","Спасибо большое, после паузы в обучении, быстро актуализировался )","1","DS"
"Ugz6eGdH379WO2trOEV4AaABAg","У вас классный контент, вот я уже учусь на программирование на пайтоне, но одно меня очень волнует так как я очень сильно заикаюсь и смотрю что на дата сайинтиста нужно разговаривать с клиентами по телефону, а в каком направлении в пайтоне меньше надо разговаривать с клиентами?","1","DS"
"UgxC215X-6cJ8_a1Yy54AaABAg","А есть возможность скачать ноутбук?","1","DS"
"UgzOZzZ9sxirSkjdupV4AaABAg","Видео обо всём и не о чем.","1","DS"
"UgyQH2S3lPG9WkqccP54AaABAg","Посмотрел и понял что я не дата саинтист :)","1","DS"
"UgyH7zj4rWx3uSgdILx4AaABAg","Какой бред. Девочка умеет только либы импортить","1","DS"
"UgzifupvdIHV0n6RWyh4AaABAg","тебе б канал переименовать. а то негоже тематическому контенту о математике тусоваться в каком-то ""чуде"" без логического объяснения, что чудесного в математике","1","DS"
"UgwmXrMdVpzJTKiAPlF4AaABAg","А можно видео где вы используете биннинг переменных, и как строить этот биннинг используя дерево решений Допустим для чего нужен биннинг? Берём возраст, и делаем биннинг, и может обнаружить что люди в возрасте от 23-26 самые опасные заёмщики, и тд, с каждой переменной","1","DS"
"UgyU4dWf4gybQcke7Ml4AaABAg","На df.corr(method='pearson') имеет смысл смотреть после удаления выбросов иначе можем получить завышенную/заниженную корреляцию. Я вообще для себя понял, так как корреляции не свойственно отображать причин но-следственные связи (эффект множественных сравнений - - > повышение ошибки 1 рода), то использовать её в качестве некоторой меры взаимосвязи и тд нерационально. Это я ещё про ложную корреляцию не сказал. Так что пользоваться можно для выявления мультиколлинеарности, я строю лишь для этого.","1","DS"
"Ugz93PhymET8k61A7nx4AaABAg","поберегите наши уши. нельзя разве сказать по-русски - модель оценивания кредитных баллов. ""скоринг"" язык спотыкается произносить...","1","DS"
"UgwiYOvTc4rbjXWYbtJ4AaABAg","Вы забыли про биннинг переменных, psi, woe. Если не смотреть эти штуки, модель может развалится на продакте через 3 месяца. А так прикольно, спасибо! Где было это видео, когда я писал диплом?))","1","DS"
"UgywlrQ5zlCNTwhCqkt4AaABAg","Good luck discriminating clients based on age","1","DS"
"UgxoMsQNaGZJzJO0BZd4AaABAg","спасибо большое, принцесса. I learn thanks to your classes, take care of yourself💕","1","DS"
"Ugy-UfT9wwfCGwlA8Z14AaABAg","Хочу увидеть реализацию простого примера на питон/нумпай по распознаванию fashion mnist 60k Реализация на керас посредством простой модели с одним промежуточным слоем даёт прекрасный показатель А вот ручками онли нумпай не могу реализовать градиентный спуск. Сигмоиду пробовал, гипертангенс не хотить обучаться. Думаю это может многим быть интересно.","1","DS"
"UgxOcEMa5N-TO1ajPdR4AaABAg","спасибо за разбор и код, было очень познавательно и интересно послушать","1","DS"
"UgwEzX-mgeOZFdLDsIt4AaABAg","👏🏼👏🏼👏🏼 спасибо","1","DS"
"UgxtWZdABejLRVFvtQl4AaABAg","Несите кольцо!!1 Я знал что девушки могут быть умными, но это какой-то космический уровень.","1","DS"
"UgziPNOvoQOqkymQ3zp4AaABAg","Use English language explain for foreign","1","DS"
"Ugx_hRGGjPs7RXm1POl4AaABAg","А вы этому в универе научились или сами?","1","DS"
"UgyF39-PMquDvaOgPuJ4AaABAg","Кто может дать ссылку на датасет из kaggle? не получается скачать так как выдает ""Это соревнование с ограниченным участием. Участвовать могут только приглашенные пользователи.","1","DS"
"Ugx1KirRP6iqmtcqxJx4AaABAg","Настя ты такая классная!1!!","1","DS"
"UgyYqFzx36jU8zVXHRx4AaABAg","Миракл сменил пол и деятельность?","1","DS"
"UgxbVN5QixE3l6eyiyt4AaABAg","а такие проекты можно использовать в резюме?)","1","DS"
"UgzlJCCb7b-NwjSUWkZ4AaABAg","В разделе про описательные статистики говорится про проверку гипотез. На деле она осуществляется на глазок, без использования строгих процедур, вроде, например, критерия Вилкоксона и ему подобным. Вопрос - в таких задачах строгие критерии просто не нужны или так сделано исключительно в рамках этого ролика?","1","DS"
"UgxxCpnXYWDWnw-THZN4AaABAg","Я так понимаю, модель это Настя, но почему кредитного скоринга? ;-)","1","DS"
"UgzBP-b71hkdyLB53-l4AaABAg","Супер прикладное видео, спасибо😌","1","DS"
"UgwkQIJ5cnHOKIwGSTB4AaABAg","Лайк, единственное: не смог скачать датасет с Каггла - ругается, что могут только приглашенные участники это сделать :(","1","DS"
"Ugy4PZsHm6qOlviZwXZ4AaABAg","В видео грубая ошибка: score_bki - скоринговый балл по данным из БКИ. И чем выше этот балл (максимум 900), тем выше вероятность одобрения кредита. То есть высокий бки скор говорит об отличной (или хорошей) кредитной истории клиента.","1","DS"
"UgwWfmfxWVQsUJ8OIHJ4AaABAg","такие вещи решаются программно так как параметров там от силы 200 например На таких данных врятли получится построить анализ алгоритм принятия решения рисует бизнес в скоринге популярны bpmn фреймворки","1","DS"
"UgwoGv7n_0sCm8CrZhR4AaABAg","ACD - Associate College Degree","1","DS"
"UgyDtK2trN2XHxGprbh4AaABAg","Спасибо, Анастасия! Побольше бы таких вот прикладных ""реальных"" кейсов годных.","1","DS"
"UgwelYJtZxSF55YugYV4AaABAg","А можете скинуть гитхаб, пожалуйста","1","DS"
"UgyYPTWc3npfwsbWVJt4AaABAg","Класс, побольше таких видео👍","1","DS"
"UgzsSCjUzuldf8oClxR4AaABAg","Интересно, можно ли так поставить гипотезы, чтобы выявить перспективные направления бизнеса конкретно в нашем случае. Скорее всего нужно огромное количество данных перелопатить.🧐 Вообще, честно говоря, это всё так интересно, находить закономерности в тонких делах.🤗","1","DS"
"UgwHZC2OyWQqZIaRLRx4AaABAg","Ничево сибе эта 😀 а💪","1","DS"
"UgwapYtsq7gzIGnS95p4AaABAg","Если вам нравится строить электронный концлагерь, идите в дата сайнс","2","DS"
"UgzfGmknFQsilHIXv1N4AaABAg","Очень странная таблица на 0:51. Хитрая какая- то...","2","DS"
"Ugx3Vlp22HBnL6L1aDl4AaABAg","слава зсу","2","DS"
"UgwVJsr1ODmFRDAfXNx4AaABAg","Куда податься хз....","2","DS"
"UgyQpCTHetkhu85JuHV4AaABAg","Здорово, всё чётко и понятно. Наконец-то 😍","2","DS"
"Ugz2BiwdtabwEps5nW54AaABAg","Уважаемая, Анастасия, здравствуйте! Мне очень интересно это направление. Но высшая математика и матанализ был 20 лет назад в ВУЗе. Как оценить свои силы, образование до.... до трат на обучение и погружение в изучение Data Sciens?","2","DS"
"Ugye3bJVn_G97GyWQtd4AaABAg","Сама красота и обаяние, так она ещё и умная...","2","DS"
"UgxVFGPhsrq1pX3bWpd4AaABAg","Спасибо!","2","DS"
"Ugznn1BXyX34d1CieMd4AaABAg","Спасибо большое за видео!","2","DS"
"UgygTM_0MScKVjxNtIB4AaABAg","Я кардиохирург с 10 летним стажем ( и учебой минимум 10 лет) и сегодня мою зарплату в бюджетной больнице снизили до 100 т р. так что начало ролика порадовало. Не зря купил курс в geek brains. Ну а вы, друзья сердешные, соотечественники, держитесь там… всего вам доброго… до свидания… Надеюсь что когда сердечко сильно прижмёт, вы найдёте как-нибудь алгоритм, ну или ещё каки-то варианты. Ибо я больше не вижу смысла что-то выдумывать если дети моих друзей после школы пройдя собеседование нахватавшись на ютубе и пройдя собеседование получают такую же зарплату как и я, значит этой локации я интересен не больше, чем они. Ок принимаю правила игры. Оздаравливайтесь ITшнеками и футболистами премьер лиги. Лечитесь у вчерашних интернов и ординаторов и помните: правила дорожного движения и медицинский опыт писаны кровью. Я свою историю написал сполна. Время молодых… всего вам доброго 🫡","2","DS"
"Ugydx2_GDN9Huq5ymP94AaABAg","хы такая милая )))","2","DS"
"UgzFuiHaRmJd6LX0xJB4AaABAg","В 34 нормально будет войти в профессию?","2","DS"
"Ugxlp0Mia26yCcHzeON4AaABAg","перерыла весь хх, нигде не нашла таких зп, особенно для начинающих. с какой платформы такие данные ?","2","DS"
"Ugz-gzF28fF_DJ47n094AaABAg","если бы зарплаты были действительно такими высокими то сегодня все программисты ринулись бы в эту тему, но так как их нехватка, то тут либо зарплаты не такие, либо знать нужно через чур много до хрена чего, потому то это далеко не всем по зубам","2","DS"
"UgznhsUezTIRQHMyGYN4AaABAg","Ваше видео очень помогло.Спасибо","2","DS"
"UgyG7kAPa5Ave3nE-Px4AaABAg","Подскажите насколько важен английский язык в дата сайнс? Стоит ли начинать изучать, если он у меня А2","2","DS"
"UgxL2NTRH8-iPWpj8BZ4AaABAg","Вы обмолвились об ИИ. Очень интересует данное направление и имеется желание в нем работать. Какой вы считаете эффективный путь изучения стека технологий с нуля до начала работы с ИИ и в какой последовательности?","2","DS"
"UgwJkeVpQZZZxvnj_uB4AaABAg","Спасибо большое за видео, все по полочкам 😊","2","DS"
"UgxddXhqGT9DiRf135F4AaABAg","Как такие красотки работают в таких ""мужских"" областях?))","2","DS"
"UgxYtD2OVtUCKH5wlup4AaABAg","Благодарю! Всё понятно)","2","DS"
"Ugy9SThi8fRwjJAtXxZ4AaABAg","Благодарю за видео, увидела Настю на подкасте МЫ ОБРЕЧЕНЫ. Замечательная!","2","DS"
"Ugw90GazEPVKPOoAqCt4AaABAg","Настенька, не надо заниматься вещами которые притупляют интеллект","2","DS"
"Ugx9MTYrX34oXsOKhSx4AaABAg","Вообще не помогло. 5 минут потерял.","2","DS"
"UgwaLx4_X10N9fAugY54AaABAg","Хорошая идея: проанализировать эффективность своего предприятия используя хотя бы основные методы data science. Спасибо автору 👏👏👍👍👍","2","DS"
